"last_name, first_name","player_id","year","player_age","pa","avg_swing_speed","squared_up_swing"
"Baty, Brett",683146,2024,24,171,"73.5",14.4
"Haase, Eric",606992,2023,30,293,"72.5",17.2
"Schanuel, Nolan",694384,2025,23,564,"67.5",32.4
"Robinson, Chuckie",642020,2024,29,76,"71.3",15
"Stefanic, Michael",683021,2025,29,25,"67.8",40.7
"Soler, Jorge",624585,2023,31,580,"75.8",23
"Walsh, Jared",665120,2023,29,116,"73.3",16.2
"Waters, Drew",671221,2023,24,337,"73",17.3
"Bruján, Vidal",660644,2023,25,84,"68.3",22.7
"Almonte, Abraham",501659,2023,34,16,"69.1",14.3
"Pérez, Carlos",656024,2023,26,53,"67.6",24.3
"Cameron, Daz",663662,2024,27,186,"72.9",25.2
"Díaz, Aledmys",649557,2024,33,34,"68.9",25.9
"Kayfus, C.J.",692216,2025,23,138,"71.1",23.1
"Riley, Austin",663586,2023,26,715,"76.3",21.9
"Guillorme, Luis",641645,2023,28,120,"65.2",36
"Thaiss, Matt",642136,2025,30,190,"72.2",19.1
"McCoy, Mason",669200,2025,30,26,"68.7",16.1
"Reyes, Pablo",622569,2023,29,185,"69.4",38.3
"Campusano, Luis",669134,2023,24,174,"68.7",31.8
"Freeman, Freddie",518692,2025,35,627,"69.8",26.6
"Pereira, Everson",677592,2025,24,73,"74.1",18.1
"Alexander, Blaze",677942,2025,26,266,"72.1",19.6
"Jansen, Danny",643376,2023,28,301,"70.9",24.1
"Judge, Aaron",592450,2025,33,679,"77",23.1
"Tauchman, Mike",643565,2023,32,401,"68.4",29.4
"Goldschmidt, Paul",502671,2023,35,687,"72.1",22.2
"Carroll, Corbin",682998,2024,23,684,"73.7",27.7
"Canzone, Dominic",686527,2024,26,188,"72.4",24.2
"Guzman, Denzer",694203,2025,21,43,"72.1",11
"Alcantara, Kevin",682634,2025,22,12,"73.2",21.1
"Kwan, Steven",680757,2023,25,718,"64.1",41.1
"White, Eli",642201,2023,29,17,,
"Caglianone, Jac",695506,2025,22,232,"77.3",19.6
"De La Cruz, Bryan",650559,2025,28,50,"71.8",21.6
"Siri, Jose",642350,2024,28,448,"72.5",16.8
"Barnhart, Tucker",571466,2023,32,123,"67.3",22.6
"Taylor, Tyrone",621438,2025,31,341,"70.3",24.5
"Monasterio, Andruw",655316,2023,26,315,"67.1",32.5
"Castellanos, Nick",592206,2024,32,659,"71.9",23.5
"Cameron, Daz",663662,2025,28,42,"75.4",18.7
"Martinez, J.D.",502110,2023,35,479,"72.9",23.9
"Hernández, Teoscar",606192,2024,31,652,"73.2",19.9
"Walker, Christian",572233,2025,34,640,"74.1",21
"Young, Jared",676724,2025,29,47,"74",16.3
"García, Luis",671277,2025,25,526,"72.4",30.4
"Espinal, Santiago",669289,2024,29,391,"66.5",30.2
"Alonso, Pete",624413,2025,30,709,"75.3",25.4
"Davis, Henry",680779,2025,25,283,"73.9",19.3
"Santander, Anthony",623993,2025,30,221,"72",20.9
"Moncada, Yoán",660162,2023,28,357,"74.2",22.6
"Alvarez, Francisco",682626,2024,22,342,"73.5",22.8
"Cabbage, Trey",663550,2023,26,56,"75.2",6.9
"Herrera, Jose",645444,2025,28,204,"67",25.9
"De La Cruz, Elly",682829,2023,21,427,"76.7",18.1
"Noda, Ryan",676116,2025,29,59,"72.4",15.7
"Mathias, Mark",664029,2023,28,72,"67",17.6
"Wilson, Weston",642215,2025,30,125,"74.1",19.5
"Manzardo, Kyle",700932,2025,24,531,"70.6",26.1
