year,player_id,player_name,player_age,pa,avg_swing_speed,squared_up_swing,observed
2023,683146,"Baty, Brett",23,389,75.8,17.7,1
2024,683146,"Baty, Brett",24,171,73.5,14.4,1
2025,683146,"Baty, Brett",25,432,74.8,22.7,1
2023,606992,"Haase, Eric",30,293,72.5,17.2,1
2024,606992,"Haase, Eric",31,69,71.2,23.3,1
2025,606992,"Haase, Eric",32,77,71.3,13.6,1
2023,694384,"Schanuel, Nolan",21,132,64.9,33.3,1
2024,694384,"Schanuel, Nolan",22,607,65.2,31.8,1
2025,694384,"Schanuel, Nolan",23,564,67.5,32.4,1
2023,642020,NA,28,NA,NA,NA,0
2024,642020,"Robinson, Chuckie",29,76,71.3,15,1
2025,642020,NA,30,NA,NA,NA,0
2023,683021,"Stefanic, Michael",27,71,64.5,47.9,1
2024,683021,"Stefanic, Michael",28,124,64.4,34.4,1
2025,683021,"Stefanic, Michael",29,25,67.8,40.7,1
2023,624585,"Soler, Jorge",31,580,75.8,23,1
2024,624585,"Soler, Jorge",32,574,75.4,21.7,1
2025,624585,"Soler, Jorge",33,315,74,21.3,1
2023,665120,"Walsh, Jared",29,116,73.3,16.2,1
2024,665120,"Walsh, Jared",30,60,75,15.3,1
2025,665120,NA,31,NA,NA,NA,0
2023,671221,"Waters, Drew",24,337,73,17.3,1
2024,671221,"Waters, Drew",25,19,73,7.5,1
2025,671221,"Waters, Drew",26,219,71.6,19.5,1
2023,660644,"Bruján, Vidal",25,84,68.3,22.7,1
2024,660644,"Bruján, Vidal",26,278,66.9,24.6,1
2025,660644,"Bruján, Vidal",27,95,68.5,25.8,1
2023,501659,"Almonte, Abraham",34,16,69.1,14.3,1
2024,501659,NA,35,NA,NA,NA,0
2025,501659,NA,36,NA,NA,NA,0
2023,656024,"Pérez, Carlos",26,53,67.6,24.3,1
2024,656024,NA,27,NA,NA,NA,0
2025,656024,NA,28,NA,NA,NA,0
2023,663662,NA,26,NA,NA,NA,0
2024,663662,"Cameron, Daz",27,186,72.9,25.2,1
2025,663662,"Cameron, Daz",28,42,75.4,18.7,1
2023,649557,"Díaz, Aledmys",32,344,70.8,27.2,1
2024,649557,"Díaz, Aledmys",33,34,68.9,25.9,1
2025,649557,NA,34,NA,NA,NA,0
2023,692216,NA,21,NA,NA,NA,0
2024,692216,NA,22,NA,NA,NA,0
2025,692216,"Kayfus, C.J.",23,138,71.1,23.1,1
2023,663586,"Riley, Austin",26,715,76.3,21.9,1
2024,663586,"Riley, Austin",27,469,75.2,24.4,1
2025,663586,"Riley, Austin",28,447,75.9,19.9,1
2023,641645,"Guillorme, Luis",28,120,65.2,36,1
2024,641645,"Guillorme, Luis",29,187,64.9,32.2,1
2025,641645,"Guillorme, Luis",30,21,67.1,14.7,1
2023,642136,"Thaiss, Matt",28,307,73.3,18.6,1
2024,642136,"Thaiss, Matt",29,186,72.4,18.7,1
2025,642136,"Thaiss, Matt",30,190,72.2,19.1,1
2023,669200,NA,28,NA,NA,NA,0
2024,669200,"McCoy, Mason",29,57,67.7,21.5,1
2025,669200,"McCoy, Mason",30,26,68.7,16.1,1
2023,622569,"Reyes, Pablo",29,185,69.4,38.3,1
2024,622569,"Reyes, Pablo",30,64,69.2,29.2,1
2025,622569,"Reyes, Pablo",31,34,69.3,19.2,1
2023,669134,"Campusano, Luis",24,174,68.7,31.8,1
2024,669134,"Campusano, Luis",25,299,69.2,30,1
2025,669134,"Campusano, Luis",26,27,73.1,18.4,1
2023,518692,"Freeman, Freddie",33,730,70.5,25.2,1
2024,518692,"Freeman, Freddie",34,638,69.8,27.1,1
2025,518692,"Freeman, Freddie",35,627,69.8,26.6,1
2023,677592,"Pereira, Everson",22,103,73.5,19.9,1
2024,677592,NA,23,NA,NA,NA,0
2025,677592,"Pereira, Everson",24,73,74.1,18.1,1
2023,677942,NA,24,NA,NA,NA,0
2024,677942,"Alexander, Blaze",25,185,73.1,19.9,1
2025,677942,"Alexander, Blaze",26,266,72.1,19.6,1
2023,643376,"Jansen, Danny",28,301,70.9,24.1,1
2024,643376,"Jansen, Danny",29,324,69,28.7,1
2025,643376,"Jansen, Danny",30,337,69.5,25.6,1
2023,592450,"Judge, Aaron",31,458,76.4,26.4,1
2024,592450,"Judge, Aaron",32,704,77.1,24.2,1
2025,592450,"Judge, Aaron",33,679,77,23.1,1
2023,643565,"Tauchman, Mike",32,401,68.4,29.4,1
2024,643565,"Tauchman, Mike",33,350,69.3,24.4,1
2025,643565,"Tauchman, Mike",34,385,69.1,24.9,1
2023,502671,"Goldschmidt, Paul",35,687,72.1,22.2,1
2024,502671,"Goldschmidt, Paul",36,654,72.5,24.8,1
2025,502671,"Goldschmidt, Paul",37,534,72.6,27.7,1
2023,682998,"Carroll, Corbin",22,645,73.2,28.2,1
2024,682998,"Carroll, Corbin",23,684,73.7,27.7,1
2025,682998,"Carroll, Corbin",24,642,74.7,23.3,1
2023,686527,"Canzone, Dominic",25,182,70.9,31.8,1
2024,686527,"Canzone, Dominic",26,188,72.4,24.2,1
2025,686527,"Canzone, Dominic",27,269,73.1,26.7,1
2023,694203,NA,19,NA,NA,NA,0
2024,694203,NA,20,NA,NA,NA,0
2025,694203,"Guzman, Denzer",21,43,72.1,11,1
2023,682634,NA,20,NA,NA,NA,0
2024,682634,"Alcantara, Kevin",21,10,74.2,41.7,1
2025,682634,"Alcantara, Kevin",22,12,73.2,21.1,1
2023,680757,"Kwan, Steven",25,718,64.1,41.1,1
2024,680757,"Kwan, Steven",26,540,64.4,38.6,1
2025,680757,"Kwan, Steven",27,693,63.7,39.3,1
2023,695506,NA,20,NA,NA,NA,0
2024,695506,NA,21,NA,NA,NA,0
2025,695506,"Caglianone, Jac",22,232,77.3,19.6,1
2023,650559,"De La Cruz, Bryan",26,626,72.2,24.4,1
2024,650559,"De La Cruz, Bryan",27,622,71.8,23.8,1
2025,650559,"De La Cruz, Bryan",28,50,71.8,21.6,1
2023,642350,"Siri, Jose",27,364,73.3,19.5,1
2024,642350,"Siri, Jose",28,448,72.5,16.8,1
2025,642350,"Siri, Jose",29,36,72.1,11.1,1
2023,571466,"Barnhart, Tucker",32,123,67.3,22.6,1
2024,571466,"Barnhart, Tucker",33,96,67.4,21.8,1
2025,571466,"Barnhart, Tucker",34,15,66.5,22.7,1
2023,621438,"Taylor, Tyrone",29,243,69.7,27.2,1
2024,621438,"Taylor, Tyrone",30,345,70.5,27.1,1
2025,621438,"Taylor, Tyrone",31,341,70.3,24.5,1
2023,655316,"Monasterio, Andruw",26,315,67.1,32.5,1
2024,655316,"Monasterio, Andruw",27,142,69.1,23,1
2025,655316,"Monasterio, Andruw",28,135,68.4,26.7,1
2023,592206,"Castellanos, Nick",31,671,72.4,21.6,1
2024,592206,"Castellanos, Nick",32,659,71.9,23.5,1
2025,592206,"Castellanos, Nick",33,589,70.5,22.8,1
2023,502110,"Martinez, J.D.",35,479,72.9,23.9,1
2024,502110,"Martinez, J.D.",36,495,73,20,1
2025,502110,NA,37,NA,NA,NA,0
2023,606192,"Hernández, Teoscar",30,678,74,21.2,1
2024,606192,"Hernández, Teoscar",31,652,73.2,19.9,1
2025,606192,"Hernández, Teoscar",32,546,73,24.3,1
2023,572233,"Walker, Christian",32,661,75,19.4,1
2024,572233,"Walker, Christian",33,552,75,20.2,1
2025,572233,"Walker, Christian",34,640,74.1,21,1
2023,676724,"Young, Jared",27,47,74.1,13.6,1
2024,676724,NA,28,NA,NA,NA,0
2025,676724,"Young, Jared",29,47,74,16.3,1
2023,671277,"García, Luis",23,482,71.2,30.5,1
2024,671277,"García, Luis",24,528,71.7,28,1
2025,671277,"García, Luis",25,526,72.4,30.4,1
2023,669289,"Espinal, Santiago",28,254,69.2,32.5,1
2024,669289,"Espinal, Santiago",29,391,66.5,30.2,1
2025,669289,"Espinal, Santiago",30,328,68.5,32.1,1
2023,624413,"Alonso, Pete",28,658,75.7,19,1
2024,624413,"Alonso, Pete",29,695,75.2,22.8,1
2025,624413,"Alonso, Pete",30,709,75.3,25.4,1
2023,680779,"Davis, Henry",23,255,73.1,22.8,1
2024,680779,"Davis, Henry",24,122,72.5,14.5,1
2025,680779,"Davis, Henry",25,283,73.9,19.3,1
2023,623993,"Santander, Anthony",28,656,72.9,23,1
2024,623993,"Santander, Anthony",29,665,73.1,22.3,1
2025,623993,"Santander, Anthony",30,221,72,20.9,1
2023,660162,"Moncada, Yoán",28,357,74.2,22.6,1
2024,660162,"Moncada, Yoán",29,45,70,28.2,1
2025,660162,"Moncada, Yoán",30,289,73.4,23.5,1
2023,682626,"Alvarez, Francisco",21,423,74.5,25.2,1
2024,682626,"Alvarez, Francisco",22,342,73.5,22.8,1
2025,682626,"Alvarez, Francisco",23,277,74,25.6,1
2023,663550,"Cabbage, Trey",26,56,75.2,6.9,1
2024,663550,"Cabbage, Trey",27,91,75.9,20.9,1
2025,663550,NA,28,NA,NA,NA,0
2023,645444,"Herrera, Jose",26,120,66.2,33.3,1
2024,645444,"Herrera, Jose",27,114,66.5,25.3,1
2025,645444,"Herrera, Jose",28,204,67,25.9,1
2023,682829,"De La Cruz, Elly",21,427,76.7,18.1,1
2024,682829,"De La Cruz, Elly",22,696,75.2,22.1,1
2025,682829,"De La Cruz, Elly",23,699,74.5,23.8,1
2023,676116,"Noda, Ryan",27,495,72.2,19.5,1
2024,676116,"Noda, Ryan",28,111,72.3,17.1,1
2025,676116,"Noda, Ryan",29,59,72.4,15.7,1
2023,664029,"Mathias, Mark",28,72,67,17.6,1
2024,664029,NA,29,NA,NA,NA,0
2025,664029,NA,30,NA,NA,NA,0
2023,642215,"Wilson, Weston",28,22,74.1,12.1,1
2024,642215,"Wilson, Weston",29,98,72.3,24.7,1
2025,642215,"Wilson, Weston",30,125,74.1,19.5,1
2023,700932,NA,22,NA,NA,NA,0
2024,700932,"Manzardo, Kyle",23,156,71.8,25.7,1
2025,700932,"Manzardo, Kyle",24,531,70.6,26.1,1
2023,657757,"Sheets, Gavin",27,344,72.8,22.6,1
2024,657757,"Sheets, Gavin",28,501,72.7,22.6,1
2025,657757,"Sheets, Gavin",29,545,74.8,25,1
2023,688363,NA,22,NA,NA,NA,0
2024,688363,"Pauley, Graham",23,32,67.8,13,1
2025,688363,"Pauley, Graham",24,184,69.6,25.3,1
2023,668723,NA,24,NA,NA,NA,0
2024,668723,"Vilade, Ryan",25,49,74.3,18.5,1
2025,668723,"Vilade, Ryan",26,15,74.4,17.2,1
2023,518595,"d'Arnaud, Travis",34,292,72.3,22.4,1
2024,518595,"d'Arnaud, Travis",35,341,71.4,21.1,1
2025,518595,"d'Arnaud, Travis",36,231,70.1,19.6,1
2023,657088,"Wall, Forrest",27,15,64.9,19.2,1
2024,657088,"Wall, Forrest",28,35,69.2,31.4,1
2025,657088,NA,29,NA,NA,NA,0
2023,676059,"Westburg, Jordan",24,228,70.2,25.9,1
2024,676059,"Westburg, Jordan",25,447,71,27.2,1
2025,676059,"Westburg, Jordan",26,352,70.8,25.1,1
2023,668952,NA,25,NA,NA,NA,0
2024,668952,"Kreidler, Ryan",26,65,68.5,19,1
2025,668952,"Kreidler, Ryan",27,44,71,16.5,1
2023,670097,"Short, Zack",28,253,70.5,22.5,1
2024,670097,"Short, Zack",29,88,70,21.8,1
2025,670097,"Short, Zack",30,56,69.7,20.9,1
2023,657557,"DeJong, Paul",29,400,69.4,23.4,1
2024,657557,"DeJong, Paul",30,482,72,18.3,1
2025,657557,"DeJong, Paul",31,208,72.2,17.9,1
2023,682622,"Marte, Noelvi",21,123,74.1,31.2,1
2024,682622,"Marte, Noelvi",22,242,73.1,18.5,1
2025,682622,"Marte, Noelvi",23,360,73.3,24.4,1
2023,663616,"Larnach, Trevor",26,212,73.2,32.1,1
2024,663616,"Larnach, Trevor",27,400,72.8,28.6,1
2025,663616,"Larnach, Trevor",28,567,72.2,27.1,1
2023,467793,"Santana, Carlos",37,619,71.4,26.3,1
2024,467793,"Santana, Carlos",38,594,71.8,28.3,1
2025,467793,"Santana, Carlos",39,474,71.3,22.6,1
2023,664901,"Mendick, Danny",29,69,67.8,34,1
2024,664901,"Mendick, Danny",30,141,66.9,25,1
2025,664901,NA,31,NA,NA,NA,0
2023,647351,"Toro, Abraham",26,21,71.8,26.7,1
2024,647351,"Toro, Abraham",27,364,69.6,29.9,1
2025,647351,"Toro, Abraham",28,284,69.6,26.6,1
2023,666624,"Morel, Christopher",24,429,75.7,20,1
2024,666624,"Morel, Christopher",25,611,76.1,20.1,1
2025,666624,"Morel, Christopher",26,305,76,18.6,1
